,breed,size,group,coat_type,barking_level,trainability,shedding,activity_level
0,Affenpinscher,xsmall,toy,wire,medium,easy-training,seasonal,regular-exercise
1,Afghan-hound,large,hound,long,medium,may-be-stubborn,infrequent,energetic
2,Airedale-terrier,medium,terrier,wire,medium,eager-to-please,occasional,regular-exercise
3,Akita,xlarge,working,medium,infrequent,eager-to-please,seasonal,energetic
4,Alaskan-klee-kai,medium,foundation-stock-service,medium,medium,agreeable,seasonal,energetic
5,Alaskan-malamute,large,working,medium,medium,independent,seasonal,energetic
6,American-bulldog,large,foundation-stock-service,smooth,infrequent,agreeable,seasonal,regular-exercise
7,American-english-coonhound,medium,hound,short,frequent,agreeable,occasional,energetic
8,American-eskimo-dog,small,non-sporting,medium,medium,eager-to-please,seasonal,energetic
9,American-foxhound,medium,hound,short,likes-to-be-vocal,independent,seasonal,energetic
10,American-hairless-terrier,small,terrier,hairless,medium,eager-to-please,infrequent,regular-exercise
11,American-leopard-hound,medium,foundation-stock-service,smooth,medium,eager-to-please,seasonal,energetic
12,American-staffordshire-terrier,medium,terrier,smooth,medium,agreeable,occasional,regular-exercise
13,American-water-spaniel,medium,sporting,medium,medium,eager-to-please,infrequent,regular-exercise
14,Anatolian-shepherd-dog,xlarge,working,short,medium,independent,seasonal,regular-exercise
15,Appenzeller-sennenhund,medium,foundation-stock-service,short,frequent,may-be-stubborn,regularly,needs-lots-of-activity
16,Australian-cattle-dog,medium,herding,short,when-necessary,may-be-stubborn,regularly,needs-lots-of-activity
17,Australian-kelpie,medium,foundation-stock-service,short,medium,eager-to-please,regularly,energetic
18,Australian-shepherd,medium,herding,medium,medium,eager-to-please,seasonal,energetic
19,Australian-stump-tail-cattle-dog,medium,foundation-stock-service,short,medium,easy-training,occasional,energetic
20,Australian-terrier,small,terrier,short,likes-to-be-vocal,agreeable,infrequent,energetic
21,Azawakh,large,hound,smooth,unknown,easy-training,occasional,energetic
22,Barbado-da-terceira,medium,foundation-stock-service,medium,frequent,eager-to-please,infrequent,needs-lots-of-activity
23,Barbet,medium,sporting,long,medium,agreeable,infrequent,regular-exercise
24,Basenji,small,hound,smooth,when-necessary,independent,occasional,energetic
25,Basset-fauve-de-bretagne,medium,foundation-stock-service,medium,medium,may-be-stubborn,seasonal,regular-exercise
26,Basset-hound,medium,hound,smooth,likes-to-be-vocal,independent,occasional,calm
27,Bavarian-mountain-scent-hound,medium,foundation-stock-service,short,infrequent,agreeable,regularly,regular-exercise
28,Beagle,small,hound,short,frequent,agreeable,occasional,energetic
29,Bearded-collie,medium,herding,long,likes-to-be-vocal,independent,seasonal,regular-exercise
30,Beauceron,large,herding,medium,medium,easy-training,frequent,needs-lots-of-activity
31,Bedlington-terrier,small,terrier,medium,medium,agreeable,infrequent,energetic
32,Belgian-laekenois,large,herding,medium,unknown,easy-training,regularly,regular-exercise
33,Belgian-malinois,large,herding,short,medium,easy-training,seasonal,energetic
34,Belgian-sheepdog,large,herding,long,medium,easy-training,seasonal,energetic
35,Belgian-tervuren,large,herding,long,medium,easy-training,seasonal,energetic
36,Bergamasco-sheepdog,medium,herding,long,when-necessary,agreeable,infrequent,calm
37,Berger-picard,large,herding,wire,infrequent,eager-to-please,seasonal,needs-lots-of-activity
38,Bernese-mountain-dog,xlarge,working,medium,medium,easy-training,frequent,energetic
39,Bichon-frise,small,non-sporting,long,medium,agreeable,infrequent,regular-exercise
40,Biewer-terrier,xsmall,toy,long,medium,eager-to-please,infrequent,calm
